activity_comment,activity_id,activity_properties,assay_chembl_id,assay_description,assay_type,assay_variant_accession,assay_variant_mutation,bao_endpoint,bao_format,bao_label,canonical_smiles,data_validity_comment,data_validity_description,document_chembl_id,document_journal,document_year,ligand_efficiency,molecule_chembl_id,molecule_pref_name,parent_molecule_chembl_id,pchembl_value,potential_duplicate,qudt_units,record_id,relation,src_id,standard_flag,standard_relation,standard_text_value,standard_type,standard_units,standard_upper_value,standard_value,target_chembl_id,target_organism,target_pref_name,target_tax_id,text_value,toid,type,units,uo_units,upper_value,value
,54835,[],CHEMBL878396,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE) using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)/C=C/CN3CCCCC3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '15.53', 'le': '0.31', 'lle': '5.10', 'sei': '7.92'}",CHEMBL2368616,,CHEMBL2367812,6.17,0,http://www.openphacts.org/units/Nanomolar,242515,=,1,1,=,,IC50,nM,,670.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.67
,54836,[],CHEMBL752072,The compound was evaluated for its inhibitory activity against dog neutrophil elastase using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)/C=C/CN3CCCCC3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '16.24', 'le': '0.33', 'lle': '5.39', 'sei': '8.28'}",CHEMBL2368616,,CHEMBL2367812,6.46,0,http://www.openphacts.org/units/Nanomolar,242515,=,1,1,=,,IC50,nM,,350.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.35
,54864,[],CHEMBL676202,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)C3CN(CC(C)(C)C)C3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '18.60', 'le': '0.38', 'lle': '6.42', 'sei': '9.53'}",CHEMBL554013,,CHEMBL1195192,7.43,0,http://www.openphacts.org/units/Nanomolar,242513,=,1,1,=,,IC50,nM,,37.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.037
,54868,[],CHEMBL676203,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE) using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)C3CN(CC(C)(C)C)C3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '16.82', 'le': '0.34', 'lle': '5.71', 'sei': '8.62'}",CHEMBL554013,,CHEMBL1195192,6.72,0,http://www.openphacts.org/units/Nanomolar,242513,=,1,1,=,,IC50,nM,,190.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.19
,54869,[],CHEMBL752072,The compound was evaluated for its inhibitory activity against dog neutrophil elastase using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)C3CN(CC(C)(C)C)C3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '16.94', 'le': '0.34', 'lle': '5.76', 'sei': '8.68'}",CHEMBL554013,,CHEMBL1195192,6.77,0,http://www.openphacts.org/units/Nanomolar,242513,=,1,1,=,,IC50,nM,,170.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.17
,59807,[],CHEMBL676202,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE),B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3coc(CN4CCCC4)n3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '18.84', 'le': '0.38', 'lle': '7.07', 'sei': '7.69'}",CHEMBL542949,,CHEMBL1191801,8.00,0,http://www.openphacts.org/units/Nanomolar,242512,=,1,1,=,,IC50,nM,,10.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.01
,59811,[],CHEMBL878396,The compound was evaluated for its inhibitory activity against human neutrophil elastase (HNE) using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3coc(CN4CCCC4)n3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '15.55', 'le': '0.31', 'lle': '5.67', 'sei': '6.35'}",CHEMBL542949,,CHEMBL1191801,6.60,0,http://www.openphacts.org/units/Nanomolar,242512,=,1,1,=,,IC50,nM,,250.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.25
,59812,[],CHEMBL752072,The compound was evaluated for its inhibitory activity against dog neutrophil elastase using whole blood assay,B,,,BAO_0000190,BAO_0000221,tissue-based format,CC(C)[C@@H]1C(=O)N(S(C)(=O)=O)[C@@H]2CCN(C(=O)c3coc(CN4CCCC4)n3)[C@@H]12.Cl,,,CHEMBL1135761,J. Med. Chem.,2002.0,"{'bei': '15.10', 'le': '0.30', 'lle': '5.48', 'sei': '6.16'}",CHEMBL542949,,CHEMBL1191801,6.41,0,http://www.openphacts.org/units/Nanomolar,242512,=,1,1,=,,IC50,nM,,390.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.39
,60174,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,CC1(C)C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,"{'bei': '17.08', 'le': '0.31', 'lle': '2.75', 'sei': '8.86'}",CHEMBL99558,,CHEMBL99558,5.52,0,http://www.openphacts.org/units/Nanomolar,181701,=,1,1,=,,IC50,nM,,3000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,3.0
,66748,[],CHEMBL675350,Compound was tested for its activity against human leukocyte elastase(HLE),B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@@H]1C(=O)N(C(=O)NCc2ccncc2)[C@H]1Cc1ccccc1,,,CHEMBL1131042,J. Med. Chem.,1998.0,"{'bei': '18.58', 'le': '0.34', 'lle': '4.29', 'sei': '8.45'}",CHEMBL318482,,CHEMBL318482,6.05,0,http://www.openphacts.org/units/Nanomolar,181716,=,1,1,=,,IC50,nM,,900.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.9
,72782,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CCCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '10.90', 'le': '0.22', 'lle': '3.86', 'sei': '3.78'}",CHEMBL311340,,CHEMBL311340,4.40,0,http://www.openphacts.org/units/Nanomolar,151315,=,1,1,=,,IC50,nM,,40000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,40.0
,72829,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)C[S@+]([O-])[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '15.02', 'le': '0.31', 'lle': '5.31', 'sei': '5.44'}",CHEMBL2115202,,CHEMBL2115202,5.40,0,http://www.openphacts.org/units/Nanomolar,151277,=,1,1,=,,IC50,nM,,4000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,4.0
,74927,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '14.56', 'le': '0.30', 'lle': '3.92', 'sei': '6.09'}",CHEMBL83046,,CHEMBL83046,5.00,0,http://www.openphacts.org/units/Nanomolar,151318,=,1,1,=,,IC50,nM,,10000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,10.0
Not Determined,74949,[],CHEMBL873593,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme; ND indicates not determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](Oc3ccccc3)[C@H]2SC1,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL86149,,CHEMBL86149,,0,http://www.openphacts.org/units/Nanomolar,151272,,1,0,,,IC50,nM,,,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,
,76099,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(=O)c3ccccc3)[C@H]2S(=O)(=O)C1,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL406129,,CHEMBL406129,,0,http://www.openphacts.org/units/Nanomolar,151298,>,1,1,>,,IC50,nM,,40000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,40.0
,76505,[],CHEMBL705698,Compound was evaluated for the inhibition of human leukocyte elastase(HLE).,B,,,BAO_0000190,BAO_0000357,single protein format,CC(C)=CC(=O)C[C@H]1C(=O)O[C@H]2C[C@]3(C)C4=CC[C@H]5[C@]6(C)C(=O)O[C@@H]6CC[C@]5(C)[C@H]4CC[C@@]3(C)[C@@H]21,,,CHEMBL1130641,Bioorg. Med. Chem. Lett.,1998.0,,CHEMBL457155,,CHEMBL457155,,0,http://www.openphacts.org/units/Nanomolar,186854,>,1,1,>,,IC50,nM,,10000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,nM,UO_0000065,,10000.0
,77182,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC=O)[C@H]2S(=O)(=O)C1,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '16.75', 'le': '0.34', 'lle': '7.24', 'sei': '4.89'}",CHEMBL313754,,CHEMBL313754,6.52,0,http://www.openphacts.org/units/Nanomolar,151265,=,1,1,=,,IC50,nM,,300.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,0.3
,78350,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CCCC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '10.95', 'le': '0.22', 'lle': '2.85', 'sei': '4.11'}",CHEMBL85352,,CHEMBL85352,4.40,0,http://www.openphacts.org/units/Nanomolar,151264,=,1,1,=,,IC50,nM,,40000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,40.0
,79365,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '14.18', 'le': '0.29', 'lle': '5.37', 'sei': '4.75'}",CHEMBL83687,,CHEMBL83687,5.52,0,http://www.openphacts.org/units/Nanomolar,151282,=,1,1,=,,IC50,nM,,3000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,3.0
,79367,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OCCc3ccccc3)[C@H]2S(=O)(=O)C1,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '11.39', 'le': '0.23', 'lle': '3.93', 'sei': '4.56'}",CHEMBL82320,,CHEMBL82320,5.30,0,http://www.openphacts.org/units/Nanomolar,151302,=,1,1,=,,IC50,nM,,5000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,5.0
Not Determined,79368,[],CHEMBL873593,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme; ND indicates not determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL82109,,CHEMBL82109,,0,http://www.openphacts.org/units/Nanomolar,151285,,1,0,,,IC50,nM,,,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,
,80616,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC=O)[C@H]2SC1,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '13.99', 'le': '0.28', 'lle': '4.40', 'sei': '5.04'}",CHEMBL85874,,CHEMBL85874,5.00,0,http://www.openphacts.org/units/Nanomolar,151274,=,1,1,=,,IC50,nM,,10000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,10.0
,80617,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@@H](NC(=O)Cc3cccs3)[C@H]2S(=O)(=O)C1,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL314279,,CHEMBL314279,,0,http://www.openphacts.org/units/Nanomolar,151260,>,1,1,>,,IC50,nM,,40000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,40.0
Not Determined,80618,[],CHEMBL873593,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme; ND indicates not determined,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(=O)COc3ccccc3)[C@H]2SC1,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL309699,,CHEMBL309699,,0,http://www.openphacts.org/units/Nanomolar,151270,,1,0,,,IC50,nM,,,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,
,81755,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](OC(C)C)[C@H]2S(=O)(=O)C1,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '11.21', 'le': '0.23', 'lle': '3.98', 'sei': '3.89'}",CHEMBL84442,,CHEMBL84442,4.52,0,http://www.openphacts.org/units/Nanomolar,151314,=,1,1,=,,IC50,nM,,30000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,30.0
,81756,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)C[C@H]2S(=O)(=O)C1,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL309389,,CHEMBL309389,,0,http://www.openphacts.org/units/Nanomolar,151306,>,1,1,>,,IC50,nM,,40000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,40.0
Not Determined,81757,[],CHEMBL873593,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme; ND indicates not determined,B,,,BAO_0000190,BAO_0000357,single protein format,CCC[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL312377,,CHEMBL312377,,0,http://www.openphacts.org/units/Nanomolar,151296,,1,0,,,IC50,nM,,,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,
Not Determined,81792,[],CHEMBL873593,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme; ND indicates not determined,B,,,BAO_0000190,BAO_0000357,single protein format,CCC(CC)O[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL312876,,CHEMBL312876,,0,http://www.openphacts.org/units/Nanomolar,151273,,1,0,,,IC50,nM,,,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,
,82887,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,COC(=O)N[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '12.90', 'le': '0.26', 'lle': '5.93', 'sei': '3.71'}",CHEMBL82588,,CHEMBL82588,5.40,0,http://www.openphacts.org/units/Nanomolar,151261,=,1,1,=,,IC50,nM,,4000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,4.0
,84757,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CCCCO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)CS(=O)(=O)[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL420409,,CHEMBL420409,,0,http://www.openphacts.org/units/Nanomolar,151283,>,1,1,>,,IC50,nM,,40000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,40.0
,84832,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CC(=O)OCC1=C(C(=O)OC(C)(C)C)N2C(=O)[C@H](NC=O)[C@H]2S(=O)(=O)C1,,,CHEMBL1124910,J. Med. Chem.,1990.0,"{'bei': '13.90', 'le': '0.28', 'lle': '6.54', 'sei': '3.96'}",CHEMBL313299,,CHEMBL313299,5.40,0,http://www.openphacts.org/units/Nanomolar,151263,=,1,1,=,,IC50,nM,,4000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,4.0
,85875,[],CHEMBL676197,Inhibitory concentration which is required to cause 50% inhibition of human leukocyte elastase (HLE) enzyme,B,,,BAO_0000190,BAO_0000357,single protein format,CO[C@H]1C(=O)N2C(C(=O)OC(C)(C)C)=C(COC(C)=O)C[S@@+]([O-])[C@H]12,,,CHEMBL1124910,J. Med. Chem.,1990.0,,CHEMBL2114195,,CHEMBL2114195,,0,http://www.openphacts.org/units/Nanomolar,151291,>,1,1,>,,IC50,nM,,40000.0,CHEMBL248,Homo sapiens,Leukocyte elastase,9606,,,IC50,uM,UO_0000065,,40.0
